Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,71,17090,3060,6031,0.507,821,2091,0.393,2239,3940,0.568,1216,1496,0.813,594,2517,3111,2116,572,550,1114,1409,8157
2,Toronto Raptors*,72,17405,2972,6291,0.472,849,2364,0.359,2123,3927,0.541,1305,1629,0.801,711,2434,3145,1732,569,431,959,1566,8098
3,Houston Rockets*,71,17090,2767,5970,0.463,1095,2981,0.367,1672,2989,0.559,1441,1833,0.786,653,2425,3078,1541,605,337,981,1409,8070
4,New Orleans Pelicans,72,17555,3051,6329,0.482,740,2035,0.364,2311,4294,0.538,1185,1539,0.77,619,2552,3171,1903,552,425,1081,1384,8027
5,Minnesota Timberwolves,72,17380,2973,6183,0.481,575,1598,0.36,2398,4585,0.523,1400,1741,0.804,747,2260,3007,1634,602,303,900,1308,7921
6,Denver Nuggets,72,17405,2933,6224,0.471,826,2219,0.372,2107,4005,0.526,1217,1591,0.765,794,2398,3192,1797,572,338,1094,1331,7909
7,Cleveland Cavaliers,71,17090,2864,5995,0.478,858,2315,0.371,2006,3680,0.545,1280,1639,0.781,587,2381,2968,1676,497,284,990,1344,7866
8,Oklahoma City Thunder,73,17645,2922,6414,0.456,772,2183,0.354,2150,4231,0.508,1218,1713,0.711,905,2368,3273,1562,654,382,1032,1467,7834
9,Los Angeles Clippers,71,17065,2854,6067,0.47,701,1984,0.353,2153,4083,0.527,1368,1810,0.756,710,2412,3122,1585,555,334,1047,1425,7777
10,Charlotte Hornets,72,17355,2781,6249,0.445,703,1929,0.364,2078,4320,0.481,1443,1951,0.74,731,2524,3255,1530,499,331,900,1268,7708
11,Brooklyn Nets,72,17430,2742,6260,0.438,890,2529,0.352,1852,3731,0.496,1275,1642,0.776,727,2497,3224,1670,441,319,1099,1498,7649
12,Washington Wizards,71,17215,2846,6077,0.468,697,1866,0.374,2149,4211,0.51,1226,1584,0.774,710,2337,3047,1768,567,307,1029,1520,7615
13,Indiana Pacers,72,17330,2930,6197,0.473,649,1756,0.37,2281,4441,0.514,1097,1408,0.779,683,2366,3049,1580,632,301,968,1360,7606
14,Los Angeles Lakers,70,16975,2875,6234,0.461,695,2016,0.345,2180,4218,0.517,1139,1611,0.707,765,2478,3243,1668,559,338,1109,1494,7584
15,Philadelphia 76ers,70,16900,2799,5979,0.468,753,2051,0.367,2046,3928,0.521,1226,1616,0.759,769,2499,3268,1828,563,347,1184,1560,7577
16,Portland Trail Blazers,71,17115,2786,6146,0.453,746,1964,0.38,2040,4182,0.488,1215,1517,0.801,707,2515,3222,1379,484,364,969,1376,7533
17,Milwaukee Bucks,71,17140,2791,5824,0.479,618,1746,0.354,2173,4078,0.533,1315,1689,0.779,583,2218,2801,1620,614,383,994,1531,7515
18,New York Knicks,72,17405,2915,6282,0.464,570,1633,0.349,2345,4649,0.504,1107,1407,0.787,764,2421,3185,1649,490,377,1075,1470,7507
19,Phoenix Suns,72,17305,2764,6283,0.44,666,1986,0.335,2098,4297,0.488,1307,1755,0.745,757,2420,3177,1517,486,331,1135,1619,7501
20,Miami Heat,72,17455,2788,6103,0.457,805,2222,0.362,1983,3881,0.511,1060,1416,0.749,667,2437,3104,1633,543,377,1036,1446,7441
21,Orlando Magic,71,17090,2777,6069,0.458,742,2069,0.359,2035,4000,0.509,1116,1464,0.762,615,2302,2917,1655,541,341,1052,1393,7412
22,Boston Celtics*,71,17165,2725,6064,0.449,831,2226,0.373,1894,3838,0.493,1122,1462,0.767,659,2506,3165,1593,508,331,990,1431,7403
23,Atlanta Hawks,71,17065,2711,6054,0.448,789,2166,0.364,1922,3888,0.494,1170,1471,0.795,658,2277,2935,1684,565,311,1110,1421,7381
24,San Antonio Spurs,72,17280,2802,6123,0.458,618,1751,0.353,2184,4372,0.5,1132,1459,0.776,734,2453,3187,1651,540,407,962,1221,7354
25,Chicago Bulls,71,17215,2758,6309,0.437,779,2196,0.355,1979,4113,0.481,1052,1379,0.763,669,2495,3164,1679,530,260,972,1373,7347
26,Utah Jazz,71,17090,2678,5869,0.456,762,2094,0.364,1916,3775,0.508,1193,1517,0.786,634,2428,3062,1544,619,355,1043,1387,7311
27,Detroit Pistons,71,17115,2753,6154,0.447,753,2018,0.373,2000,4136,0.484,1043,1396,0.747,722,2350,3072,1592,544,277,967,1321,7303
28,Dallas Mavericks,71,17140,2713,6072,0.447,828,2280,0.363,1885,3792,0.497,1036,1345,0.77,576,2338,2914,1614,504,261,877,1377,7290
29,Sacramento Kings,72,17355,2803,6203,0.452,655,1719,0.381,2148,4484,0.479,896,1219,0.735,680,2244,2924,1546,582,296,994,1433,7157
30,Memphis Grizzlies,71,17065,2587,5853,0.442,653,1867,0.35,1934,3986,0.485,1207,1528,0.79,675,2217,2892,1525,525,349,1057,1677,7034
,League Average,71,17231,2824,6130,0.461,748,2062,0.363,2076,4068,0.51,1200,1561,0.769,694,2402,3096,1649,550,345,1024,1427,7596